id,text,kakusu
1,一,1
2,乙,1
3,九,2
4,七,2
5,十,2
6,人,2
7,丁,2
8,刀,2
9,二,2
10,入,2
11,八,2
12,又,2
13,了,2
14,力,2
15,下,3
16,干,3
17,丸,3
18,久,3
19,及,3
20,弓,3
21,巾,3
22,己,3
23,口,3
24,工,3
25,乞,3
26,才,3
27,三,3
28,山,3
29,士,3
30,子,3
31,女,3
32,小,3
33,上,3
34,丈,3
35,刃,3
36,寸,3
37,夕,3
38,千,3
39,川,3
40,大,3
41,土,3
42,亡,3
43,凡,3
44,万,3
45,与,3
46,引,4
47,円,4
48,王,4
49,化,4
50,火,4
51,牙,4
52,介,4
53,刈,4
54,牛,4
55,凶,4
56,斤,4
57,区,4
58,欠,4
59,月,4
60,犬,4
61,元,4
62,幻,4
63,戸,4
64,五,4
65,互,4
66,午,4
67,公,4
68,勾,4
69,孔,4
70,今,4
71,支,4
72,止,4
73,氏,4
74,尺,4
75,手,4
76,収,4
77,升,4
78,少,4
79,冗,4
80,心,4
81,仁,4
82,水,4
83,井,4
84,切,4
85,双,4
86,太,4
87,丹,4
88,中,4
89,弔,4
90,爪,4
91,天,4
92,斗,4
93,屯,4
94,内,4
95,匂,4
96,日,4
97,反,4
98,比,4
99,匹,4
100,不,4
101,夫,4
102,父,4
103,仏,4
104,分,4
105,文,4
106,片,4
107,方,4
108,乏,4
109,木,4
110,毛,4
111,厄,4
112,友,4
113,予,4
114,六,4
115,圧,5
116,以,5
117,右,5
118,永,5
119,凹,5
120,央,5
121,加,5
122,可,5
123,瓦,5
124,外,5
125,且,5
126,刊,5
127,甘,5
128,丘,5
129,旧,5
130,去,5
131,巨,5
132,玉,5
133,句,5
134,兄,5
135,穴,5
136,玄,5
137,古,5
138,功,5
139,巧,5
140,広,5
141,甲,5
142,号,5
143,込,5
144,左,5
145,冊,5
146,札,5
147,皿,5
148,仕,5
149,史,5
150,司,5
151,四,5
152,市,5
153,矢,5
154,示,5
155,𠮟,5
156,失,5
157,写,5
158,主,5
159,囚,5
160,汁,5
161,出,5
162,処,5
163,召,5
164,尻,5
165,申,5
166,世,5
167,正,5
168,生,5
169,斥,5
170,石,5
171,仙,5
172,占,5
173,他,5
174,打,5
175,代,5
176,台,5
177,旦,5
178,庁,5
179,田,5
180,奴,5
181,冬,5
182,凸,5
183,丼,5
184,尼,5
185,白,5
186,半,5
187,氾,5
188,犯,5
189,皮,5
190,必,5
191,氷,5
192,付,5
193,布,5
194,払,5
195,丙,5
196,平,5
197,辺,5
198,弁,5
199,母,5
200,包,5
201,北,5
202,本,5
203,末,5
204,未,5
205,民,5
206,矛,5
207,目,5
208,由,5
209,幼,5
210,用,5
211,立,5
212,令,5
213,礼,5
214,扱,6
215,安,6
216,衣,6
217,芋,6
218,印,6
219,因,6
220,宇,6
221,羽,6
222,汚,6
223,仮,6
224,回,6
225,灰,6
226,会,6
227,各,6
228,汗,6
229,缶,6
230,企,6
231,伎,6
232,危,6
233,机,6
234,気,6
235,吉,6
236,休,6
237,吸,6
238,朽,6
239,臼,6
240,共,6
241,叫,6
242,仰,6
243,曲,6
244,刑,6
245,血,6
246,件,6
247,交,6
248,光,6
249,向,6
250,后,6
251,好,6
252,江,6
253,考,6
254,行,6
255,合,6
256,再,6
257,在,6
258,旨,6
259,死,6
260,糸,6
261,至,6
262,字,6
263,寺,6
264,次,6
265,耳,6
266,自,6
267,式,6
268,芝,6
269,守,6
270,朱,6
271,州,6
272,舟,6
273,充,6
274,旬,6
275,巡,6
276,如,6
277,匠,6
278,色,6
279,尽,6
280,迅,6
281,成,6
282,西,6
283,舌,6
284,先,6
285,全,6
286,壮,6
287,早,6
288,争,6
289,存,6
290,多,6
291,宅,6
292,団,6
293,地,6
294,池,6
295,竹,6
296,仲,6
297,虫,6
298,兆,6
299,伝,6
300,吐,6
301,灯,6
302,当,6
303,同,6
304,弐,6
305,肉,6
306,任,6
307,年,6
308,肌,6
309,伐,6
310,帆,6
311,汎,6
312,妃,6
313,百,6
314,伏,6
315,米,6
316,忙,6
317,朴,6
318,毎,6
319,名,6
320,妄,6
321,有,6
322,羊,6
323,吏,6
324,両,6
325,列,6
326,劣,6
327,老,6
328,亜,7
329,位,7
330,囲,7
331,医,7
332,壱,7
333,応,7
334,何,7
335,花,7
336,我,7
337,快,7
338,戒,7
339,改,7
340,貝,7
341,角,7
342,完,7
343,肝,7
344,含,7
345,岐,7
346,希,7
347,忌,7
348,汽,7
349,技,7
350,却,7
351,求,7
352,究,7
353,狂,7
354,局,7
355,均,7
356,近,7
357,吟,7
358,串,7
359,君,7
360,形,7
361,系,7
362,芸,7
363,迎,7
364,決,7
365,見,7
366,言,7
367,呉,7
368,坑,7
369,孝,7
370,抗,7
371,攻,7
372,更,7
373,克,7
374,告,7
375,谷,7
376,困,7
377,佐,7
378,沙,7
379,災,7
380,材,7
381,作,7
382,伺,7
383,志,7
384,私,7
385,似,7
386,児,7
387,社,7
388,車,7
389,寿,7
390,秀,7
391,住,7
392,初,7
393,助,7
394,序,7
395,床,7
396,抄,7
397,肖,7
398,条,7
399,状,7
400,伸,7
401,臣,7
402,芯,7
403,身,7
404,辛,7
405,図,7
406,吹,7
407,杉,7
408,声,7
409,赤,7
410,折,7
411,走,7
412,即,7
413,束,7
414,足,7
415,村,7
416,汰,7
417,妥,7
418,対,7
419,体,7
420,択,7
421,沢,7
422,但,7
423,男,7
424,沖,7
425,町,7
426,沈,7
427,低,7
428,呈,7
429,廷,7
430,弟,7
431,努,7
432,投,7
433,豆,7
434,那,7
435,尿,7
436,妊,7
437,忍,7
438,把,7
439,売,7
440,伯,7
441,麦,7
442,抜,7
443,伴,7
444,判,7
445,坂,7
446,阪,7
447,否,7
448,批,7
449,尾,7
450,肘,7
451,扶,7
452,兵,7
453,別,7
454,返,7
455,芳,7
456,邦,7
457,坊,7
458,妨,7
459,忘,7
460,防,7
461,没,7
462,妙,7
463,冶,7
464,役,7
465,余,7
466,妖,7
467,抑,7
468,沃,7
469,来,7
470,乱,7
471,卵,7
472,利,7
473,里,7
474,良,7
475,冷,7
476,励,7
477,戻,7
478,呂,7
479,労,7
480,弄,7
481,宛,8
482,依,8
483,委,8
484,育,8
485,雨,8
486,泳,8
487,英,8
488,易,8
489,延,8
490,沿,8
491,炎,8
492,往,8
493,押,8
494,旺,8
495,欧,8
496,殴,8
497,岡,8
498,佳,8
499,価,8
500,果,8
501,河,8
502,苛,8
503,画,8
504,芽,8
505,怪,8
506,拐,8
507,劾,8
508,拡,8
509,学,8
510,岳,8
511,官,8
512,岸,8
513,岩,8
514,玩,8
515,奇,8
516,祈,8
517,季,8
518,宜,8
519,泣,8
520,居,8
521,拒,8
522,拠,8
523,京,8
524,享,8
525,供,8
526,協,8
527,況,8
528,金,8
529,苦,8
530,具,8
531,空,8
532,屈,8
533,径,8
534,茎,8
535,券,8
536,肩,8
537,弦,8
538,呼,8
539,固,8
540,股,8
541,虎,8
542,効,8
543,幸,8
544,拘,8
545,肯,8
546,刻,8
547,国,8
548,昆,8
549,妻,8
550,采,8
551,刷,8
552,刹,8
553,参,8
554,使,8
555,刺,8
556,始,8
557,姉,8
558,枝,8
559,祉,8
560,肢,8
561,事,8
562,侍,8
563,治,8
564,実,8
565,舎,8
566,者,8
567,邪,8
568,若,8
569,取,8
570,受,8
571,呪,8
572,周,8
573,宗,8
574,叔,8
575,述,8
576,所,8
577,尚,8
578,招,8
579,承,8
580,昇,8
581,松,8
582,沼,8
583,垂,8
584,炊,8
585,枢,8
586,制,8
587,姓,8
588,征,8
589,性,8
590,青,8
591,斉,8
592,昔,8
593,析,8
594,拙,8
595,狙,8
596,阻,8
597,卒,8
598,卓,8
599,拓,8
600,担,8
601,知,8
602,宙,8
603,忠,8
604,抽,8
605,注,8
606,長,8
607,直,8
608,坪,8
609,定,8
610,底,8
611,抵,8
612,邸,8
613,泥,8
614,的,8
615,迭,8
616,典,8
617,店,8
618,妬,8
619,東,8
620,到,8
621,毒,8
622,突,8
623,届,8
624,奈,8
625,乳,8
626,念,8
627,波,8
628,拝,8
629,杯,8
630,拍,8
631,泊,8
632,迫,8
633,板,8
634,版,8
635,彼,8
636,披,8
637,肥,8
638,非,8
639,泌,8
640,表,8
641,苗,8
642,府,8
643,怖,8
644,阜,8
645,附,8
646,侮,8
647,武,8
648,服,8
649,沸,8
650,物,8
651,併,8
652,並,8
653,歩,8
654,奉,8
655,宝,8
656,抱,8
657,放,8
658,法,8
659,泡,8
660,房,8
661,肪,8
662,牧,8
663,奔,8
664,妹,8
665,枚,8
666,枕,8
667,抹,8
668,味,8
669,岬,8
670,命,8
671,明,8
672,免,8
673,茂,8
674,盲,8
675,門,8
676,夜,8
677,弥,8
678,油,8
679,拉,8
680,林,8
681,例,8
682,炉,8
683,和,8
684,枠,8
685,哀,9
686,威,9
687,為,9
688,畏,9
689,胃,9
690,茨,9
691,咽,9
692,姻,9
693,映,9
694,栄,9
695,疫,9
696,怨,9
697,屋,9
698,卸,9
699,音,9
700,科,9
701,架,9
702,悔,9
703,海,9
704,界,9
705,皆,9
706,垣,9
707,柿,9
708,革,9
709,括,9
710,活,9
711,冠,9
712,巻,9
713,看,9
714,紀,9
715,軌,9
716,客,9
717,逆,9
718,虐,9
719,急,9
720,級,9
721,糾,9
722,峡,9
723,挟,9
724,狭,9
725,軍,9
726,係,9
727,型,9
728,契,9
729,計,9
730,建,9
731,研,9
732,県,9
733,限,9
734,孤,9
735,弧,9
736,故,9
737,枯,9
738,後,9
739,侯,9
740,厚,9
741,恒,9
742,洪,9
743,皇,9
744,紅,9
745,荒,9
746,郊,9
747,香,9
748,拷,9
749,恨,9
750,査,9
751,砂,9
752,砕,9
753,削,9
754,昨,9
755,柵,9
756,咲,9
757,拶,9
758,姿,9
759,思,9
760,指,9
761,施,9
762,持,9
763,室,9
764,狩,9
765,首,9
766,拾,9
767,秋,9
768,臭,9
769,柔,9
770,重,9
771,祝,9
772,俊,9
773,春,9
774,盾,9
775,叙,9
776,昭,9
777,乗,9
778,城,9
779,浄,9
780,拭,9
781,食,9
782,侵,9
783,信,9
784,津,9
785,神,9
786,甚,9
787,帥,9
788,是,9
789,政,9
790,星,9
791,牲,9
792,省,9
793,窃,9
794,宣,9
795,専,9
796,泉,9
797,浅,9
798,洗,9
799,染,9
800,前,9
801,祖,9
802,奏,9
803,相,9
804,荘,9
805,草,9
806,送,9
807,促,9
808,則,9
809,俗,9
810,耐,9
811,待,9
812,怠,9
813,胎,9
814,退,9
815,単,9
816,炭,9
817,胆,9
818,段,9
819,茶,9
820,昼,9
821,柱,9
822,挑,9
823,勅,9
824,珍,9
825,追,9
826,亭,9
827,貞,9
828,帝,9
829,訂,9
830,点,9
831,度,9
832,怒,9
833,逃,9
834,洞,9
835,峠,9
836,独,9
837,栃,9
838,南,9
839,虹,9
840,派,9
841,背,9
842,肺,9
843,畑,9
844,発,9
845,卑,9
846,飛,9
847,眉,9
848,美,9
849,秒,9
850,品,9
851,訃,9
852,負,9
853,赴,9
854,封,9
855,風,9
856,柄,9
857,変,9
858,便,9
859,保,9
860,胞,9
861,某,9
862,冒,9
863,勃,9
864,盆,9
865,昧,9
866,迷,9
867,面,9
868,約,9
869,勇,9
870,幽,9
871,洋,9
872,要,9
873,律,9
874,柳,9
875,侶,9
876,厘,9
877,郎,9
878,挨,10
879,案,10
880,員,10
881,院,10
882,唄,10
883,畝,10
884,浦,10
885,益,10
886,悦,10
887,宴,10
888,桜,10
889,翁,10
890,俺,10
891,恩,10
892,夏,10
893,家,10
894,荷,10
895,華,10
896,蚊,10
897,害,10
898,格,10
899,核,10
900,株,10
901,釜,10
902,陥,10
903,既,10
904,記,10
905,起,10
906,飢,10
907,鬼,10
908,帰,10
909,宮,10
910,挙,10
911,恐,10
912,恭,10
913,胸,10
914,脅,10
915,訓,10
916,郡,10
917,恵,10
918,桁,10
919,倹,10
920,兼,10
921,剣,10
922,拳,10
923,軒,10
924,原,10
925,個,10
926,庫,10
927,娯,10
928,悟,10
929,候,10
930,校,10
931,耕,10
932,航,10
933,貢,10
934,降,10
935,高,10
936,剛,10
937,骨,10
938,根,10
939,唆,10
940,差,10
941,座,10
942,挫,10
943,宰,10
944,栽,10
945,剤,10
946,財,10
947,索,10
948,殺,10
949,桟,10
950,蚕,10
951,残,10
952,師,10
953,恣,10
954,紙,10
955,脂,10
956,時,10
957,疾,10
958,射,10
959,借,10
960,酌,10
961,弱,10
962,殊,10
963,珠,10
964,酒,10
965,修,10
966,袖,10
967,従,10
968,准,10
969,殉,10
970,純,10
971,書,10
972,徐,10
973,除,10
974,宵,10
975,将,10
976,消,10
977,症,10
978,祥,10
979,称,10
980,笑,10
981,辱,10
982,唇,10
983,娠,10
984,振,10
985,浸,10
986,真,10
987,針,10
988,陣,10
989,粋,10
990,衰,10
991,凄,10
992,逝,10
993,席,10
994,脊,10
995,隻,10
996,扇,10
997,栓,10
998,租,10
999,素,10
1000,倉,10
1001,捜,10
1002,挿,10
1003,桑,10
1004,造,10
1005,息,10
1006,捉,10
1007,速,10
1008,孫,10
1009,帯,10
1010,泰,10
1011,託,10
1012,値,10
1013,恥,10
1014,致,10
1015,畜,10
1016,逐,10
1017,秩,10
1018,衷,10
1019,酎,10
1020,捗,10
1021,朕,10
1022,通,10
1023,庭,10
1024,逓,10
1025,哲,10
1026,展,10
1027,徒,10
1028,途,10
1029,倒,10
1030,凍,10
1031,唐,10
1032,島,10
1033,桃,10
1034,討,10
1035,透,10
1036,党,10
1037,胴,10
1038,匿,10
1039,特,10
1040,悩,10
1041,納,10
1042,能,10
1043,破,10
1044,馬,10
1045,俳,10
1046,配,10
1047,倍,10
1048,梅,10
1049,剝,10
1050,班,10
1051,畔,10
1052,般,10
1053,疲,10
1054,秘,10
1055,被,10
1056,姫,10
1057,俵,10
1058,病,10
1059,浜,10
1060,敏,10
1061,浮,10
1062,粉,10
1063,紛,10
1064,陛,10
1065,勉,10
1066,哺,10
1067,捕,10
1068,俸,10
1069,倣,10
1070,峰,10
1071,砲,10
1072,剖,10
1073,紡,10
1074,埋,10
1075,脈,10
1076,眠,10
1077,娘,10
1078,冥,10
1079,耗,10
1080,紋,10
1081,容,10
1082,浴,10
1083,流,10
1084,留,10
1085,竜,10
1086,旅,10
1087,料,10
1088,倫,10
1089,涙,10
1090,烈,10
1091,恋,10
1092,連,10
1093,朗,10
1094,浪,10
1095,脇,10
1096,悪,11
1097,尉,11
1098,異,11
1099,移,11
1100,萎,11
1101,域,11
1102,逸,11
1103,淫,11
1104,陰,11
1105,液,11
1106,菓,11
1107,貨,11
1108,械,11
1109,崖,11
1110,涯,11
1111,殻,11
1112,郭,11
1113,掛,11
1114,喝,11
1115,渇,11
1116,乾,11
1117,勘,11
1118,患,11
1119,貫,11
1120,眼,11
1121,基,11
1122,寄,11
1123,規,11
1124,亀,11
1125,偽,11
1126,菊,11
1127,脚,11
1128,救,11
1129,球,11
1130,虚,11
1131,許,11
1132,魚,11
1133,強,11
1134,教,11
1135,郷,11
1136,菌,11
1137,惧,11
1138,偶,11
1139,掘,11
1140,啓,11
1141,掲,11
1142,渓,11
1143,経,11
1144,蛍,11
1145,健,11
1146,険,11
1147,現,11
1148,舷,11
1149,康,11
1150,控,11
1151,梗,11
1152,黄,11
1153,黒,11
1154,頃,11
1155,婚,11
1156,混,11
1157,痕,11
1158,紺,11
1159,彩,11
1160,採,11
1161,済,11
1162,祭,11
1163,斎,11
1164,細,11
1165,菜,11
1166,埼,11
